Identifier,Strain,Country,154,424,577,580,802,960,1644,1955,2059,2163b,2165,2347,2401,2461,2531,2687,2996,3007,3171,3192,3690,4052,4156,4348,INH,SM,EMB,RMP,PZA
10264/03,M. tuberculosis,TUR,2,4,4,1,2,5,1,2,2,2,3,4,4,2,5,1,1,3,3,3,3,6,3,2,s,s,s,s,s
10400/02,M. africanum,West African 1,2,3,4,2,1,4,3,2,2,3,4,3,4,2,4,2,4,4,3,2,3,3,3,2,r,r,s,s,s
10438/01,M. tuberculosis,Cameroon,2,2,4,2,3,3,2,3,1,3,4,4,2,2,5,1,5,3,3,3,10,4,2,2,s,s,s,s,s
10439/01,M. tuberculosis,Cameroon,2,2,4,2,3,3,3,3,1,6,4,4,2,2,5,1,5,3,3,3,13,5,2,2,s,s,s,s,s
10445/01,M. tuberculosis,Cameroon,2,2,4,2,3,3,3,3,1,6,4,4,2,2,5,1,5,3,3,3,8,4,0,2,s,s,s,s,s
10446/01,M. tuberculosis,Cameroon,1,2,4,2,3,3,2,3,1,4,3,4,2,2,5,1,4,3,3,3,9,5,2,2,s,s,s,s,s
10458/02,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,5,4,3,4,2,4,2,4,3,3,2,3,2,0,2,s,s,s,s,s
10459/03,M. tuberculosis,NEW-1,2,1,4,2,3,2,3,3,2,3,3,4,2,1,5,1,5,3,3,3,3,7,2,2,s,s,s,s,s
10462/01,M. africanum,West African 2,2,3,5,2,2,6,4,4,2,4,6,3,4,4,4,2,4,3,3,5,4,6,3,2,s,s,s,s,s
10469/01,M. tuberculosis,Ghana,2,2,3,2,5,3,3,4,2,3,3,4,4,2,5,1,4,3,2,3,3,6,1,3,r,s,r,s,s
10470/01,M. tuberculosis,Ghana,2,2,3,2,6,3,3,4,2,3,3,4,4,2,5,1,4,3,2,3,3,6,1,3,s,s,s,s,s
10473/01,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,4+6,4,3,4,2,4,2,4,3,3,2,3,2,0,2,s,s,s,s,s
10476/01,M. africanum,West African 2,2,3,5,2,2,5,4,4,2,3,6,3,4,4,4,2,4,3,3,5,4,6,3,2,r,r,s,s,s
10480/01,M. africanum,West African 1,2,1,4,2,1,4,4,2,2,2,4,3,2,2,4,2,4,3,3,2,3,2,3,2,s,s,s,s,s
10481/01,M. tuberculosis,Cameroon,2,2,4,2,3,3,3,3,1,4,2,4,2,2,5,1,5,3,3,3,9,4,2,2,s,s,s,s,s
10485/01,M. africanum,West African 2,2,3,7,2,2,5,4,4,2,5,6,3,4,4,4,2,4,3,3,5,4,6,3,2,s,s,s,s,s
10486/01,M. tuberculosis,Ghana,2,2,3,2,6,3,3,4,2,3,3,4,4,2,5,1,4,3,2,3,3,6,1,3,s,s,s,s,s
